Unnamed: 0,0,raw_text,clean_text,pos_count,neg_count,score,sentiment_label,finbert_sentiment_label,neg,neu,pos,compound,vader_sentiment_label
10,"<p>Monthly options data indicated that the Nifty may trade in the 25,700–26,200 range in the short term.</p>","<p>Monthly options data indicated that the Nifty may trade in the 25,700–26,200 range in the short term.</p>",month option data indicat range short term,0.0,0.0,0.0,neutral,positive,0.0,1.0,0.0,0.0,neutral
11,"<p>Broader indices underperformed the main indices, as market fell during a last-hour selloff with breadth favouring the decline.</p>","<p>Broader indices underperformed the main indices, as market fell during a last-hour selloff with breadth favouring the decline.</p>",broader indic underperform main indic last hour selloff breadth favour decline,0.0,1.0,-0.30151134457776363,negative,neutral,0.0,0.775,0.225,0.4404,positive
12,"<p>Overall, after Q2 earnings, Gautam Duggad has raised earnings estimates of coverage universe by 2.3 percentage points for FY26 led by oil &amp; gas, PSU banks, telecom, insurance, and metals.</p>","<p>Overall, after Q2 earnings, Gautam Duggad has raised earnings estimates of coverage universe by 2.3 percentage points for FY26 led by oil &amp; gas, PSU banks, telecom, insurance, and metals.</p>",overall earning gautam duggad rais earning estimat coverage universe percentage point led oil amp gas psu bank telecom insurance metal,0.0,0.0,0.0,neutral,negative,0.0,1.0,0.0,0.0,neutral
13,"<p>After opening in the green, the benchmark indices Nifty 50 and Sensex erased all their gains to settle with losses on November 24.</p>","<p>After opening in the green, the benchmark indices Nifty 50 and Sensex erased all their gains to settle with losses on November 24.</p>",open green benchmark indic sensex eras settle loss november,0.0,1.0,-0.3333333333333333,negative,neutral,0.223,0.777,0.0,-0.3182,negative
14,"<p>Net inflows plunged 92% in September as wealthy investors booked profits, cut equity exposure, unwound derivative bets and diverted money overseas, even as AUM hit a new peak on market gains and EPFO support.</p>","<p>Net inflows plunged 92% in September as wealthy investors booked profits, cut equity exposure, unwound derivative bets and diverted money overseas, even as AUM hit a new peak on market gains and EPFO support.</p>",net inflow plung september wealthy investor book profit cut equity exposure unwound derivative bet divert money oversea even aum hit new peak epfo support,1.0,0.0,0.20412414523193154,positive,neutral,0.07,0.662,0.268,0.7184,positive
15,"<p>A booming IPO market, strong listing gains and SEBI’s curbs on mutual funds’ pre-IPO placements are driving PMS and AIF managers deeper into private-market deals, turning unlisted equity into the industry’s fastest-rising allocation.</p>","<p>A booming IPO market, strong listing gains and SEBI’s curbs on mutual funds’ pre-IPO placements are driving PMS and AIF managers deeper into private-market deals, turning unlisted equity into the industry’s fastest-rising allocation.</p>",boom ipo strong list sebi curb mutual fund pre ipo placement driv pms aif manager deeper private deal turn unlist equity industry fastest ris allocation,1.0,0.0,0.2,positive,negative,0.0,0.879,0.121,0.5106,positive
16,"<p>Nifty and Sensex opened mildly higher on November 24, supported by positive global cues and improving expectations for FY27 earnings growth.</p>","<p>Nifty and Sensex opened mildly higher on November 24, supported by positive global cues and improving expectations for FY27 earnings growth.</p>",sensex open mild higher november support positive global cue improv expectation earning growth,2.0,0.0,0.5547001962252291,positive,negative,0.0,0.529,0.471,0.836,positive
17,"<p>Indian markets are set for a positive start on November 24, with GIFT Nifty indicating early gains despite mixed global cues and investors tracking key U.S. data releases this week.</p>","<p>Indian markets are set for a positive start on November 24, with GIFT Nifty indicating early gains despite mixed global cues and investors tracking key U.S. data releases this week.</p>",indian market set positive start november gift indicat ear despite mix global cue investor track key data releas,1.0,0.0,0.23570226039551587,positive,negative,0.0,0.711,0.289,0.7579,positive
18,<p>Asian shares were trading higher with Taiwan Weighted and Kospi up 1% each. Japan markets is closed for a holiday</p>,<p>Asian shares were trading higher with Taiwan Weighted and Kospi up 1% each. Japan markets is closed for a holiday</p>,asian shar higher taiwan weight kospi japan market clos holiday,0.0,0.0,0.0,neutral,negative,0.0,0.769,0.231,0.4019,positive
19,"<p>Tech Mahindra, Eicher Motors, Bajaj Auto, Wipro, Infosys are among major gainers on the Nifty, while losers are JSW Steel, Bharat Electronics, Max Healthcare, Grasim Industries, Dr Reddys Labs. Among sectors, except IT, all other indices ended in the red with media, metal, realty, pharma, oil &amp; gas, FMCG down 0.4-1%. BSE midcap index fell 0.3%, while smallcap index down 0.8%.</p>","<p>Tech Mahindra, Eicher Motors, Bajaj Auto, Wipro, Infosys are among major gainers on the Nifty, while losers are JSW Steel, Bharat Electronics, Max Healthcare, Grasim Industries, Dr Reddys Labs. Among sectors, except IT, all other indices ended in the red with media, metal, realty, pharma, oil &amp; gas, FMCG down 0.4-1%. BSE midcap index fell 0.3%, while smallcap index down 0.8%.</p>",tech mahindra eicher motor bajaj auto wipro infosy among major gainer loser jsw steel bharat electronic max healthcare grasim industri reddy lab among sector except indic end red media metal realty pharma oil amp gas fmcg bse midcap index smallcap index,0.0,0.0,0.0,neutral,neutral,0.078,0.922,0.0,-0.5267,negative
20,"<p>The market this week, starting November 24, is expected to remain rangebound with a positive bias, focusing on India-US trade talks, the Ukraine peace deal, Q2FY26 GDP data, and FII activity, experts say.</p>","<p>The market this week, starting November 24, is expected to remain rangebound with a positive bias, focusing on India-US trade talks, the Ukraine peace deal, Q2FY26 GDP data, and FII activity, experts say.</p>",start november expect remain rangebound positive bia focus india talk ukraine peace deal gdp data fii activity expert,1.0,0.0,0.23570226039551587,positive,negative,0.0,0.693,0.307,0.7964,positive
21,"<p>Global markets fell after strong US jobs data dimmed rate cut hopes, while the Indian rupee hit a record low and US-India trade uncertainty hurt investor sentiment.</p>","<p>Global markets fell after strong US jobs data dimmed rate cut hopes, while the Indian rupee hit a record low and US-India trade uncertainty hurt investor sentiment.</p>",global market strong job data dimm rate cut hop indian rupee hit record low india uncertainty hurt investor sentiment,1.0,0.0,0.22941573387056174,positive,neutral,0.366,0.513,0.121,-0.6908,negative
22,"<p>If the Nifty 50 reclaims and sustains above 26,100, the 26,250 level is expected to act as a crucial hurdle for further upside. On the lower side, 26,000 remains the key level to watch for any potential downward move.</p>","<p>If the Nifty 50 reclaims and sustains above 26,100, the 26,250 level is expected to act as a crucial hurdle for further upside. On the lower side, 26,000 remains the key level to watch for any potential downward move.</p>",reclaim sustain level expect act crucial hurdle upside lower side remain key level watch potential downward move,0.0,0.0,0.0,neutral,neutral,0.121,0.879,0.0,-0.296,negative
23,"<p>If the Nifty 50 convincingly breaks below the 26,000 mark, the 25,850–25,800 zone will be crucial to watch on the downside. On the other hand, sustaining above this range can drive the index toward 26,250, followed by 26,500, which remain the key upside targets, experts said.</p>","<p>If the Nifty 50 convincingly breaks below the 26,000 mark, the 25,850–25,800 zone will be crucial to watch on the downside. On the other hand, sustaining above this range can drive the index toward 26,250, followed by 26,500, which remain the key upside targets, experts said.</p>",convincing break mark zone crucial watch downside hand sustain range drive index toward follow remain key upside target expert,0.0,0.0,0.0,neutral,negative,0.084,0.669,0.247,0.5994,positive
24,"<p>The prolonged corporate earnings per share (EPS) downgrade cycle has finally stabilized over the last three months. The Q2 FY26 results have tracked better than expectations, leading to selective earnings upgrades, said Pranab Uniyal.</p>","<p>The prolonged corporate earnings per share (EPS) downgrade cycle has finally stabilized over the last three months. The Q2 FY26 results have tracked better than expectations, leading to selective earnings upgrades, said Pranab Uniyal.</p>",prolong corporate earning per share eps downgrade cycle final stabiliz last three month result track better expectation lead selective earning upgrad pranab uniyal,0.0,1.0,-0.20851441405707477,negative,negative,0.0,0.805,0.195,0.6249,positive
25,"<p>Sector-wise, Nifty IT gained 1.6%, Auto rose 1%, and Bank added 0.6%. Meanwhile, Realty slipped 3.7%, Metal fell 3.3%, and Media dropped 2.4%.</p>","<p>Sector-wise, Nifty IT gained 1.6%, Auto rose 1%, and Bank added 0.6%. Meanwhile, Realty slipped 3.7%, Metal fell 3.3%, and Media dropped 2.4%.</p>",sector wise gain auto bank add meanwhile realty slipp metal media dropp,1.0,0.0,0.2886751345948129,positive,neutral,0.0,0.606,0.394,0.7579,positive
26,"<p>Pradeep Gupta of Anand Rathi Group said that while some pockets still face valuation pressures and near-term volatility persists due to US policy uncertainty, the domestic backdrop remains resilient.</p>","<p>Pradeep Gupta of Anand Rathi Group said that while some pockets still face valuation pressures and near-term volatility persists due to US policy uncertainty, the domestic backdrop remains resilient.</p>",pradeep gupta anand rathi group pocket still face valuation pressur near term volatility persist due policy uncertainty domestic backdrop remain resilient,0.0,0.0,0.0,neutral,negative,0.107,0.893,0.0,-0.34,negative
27,"<p>“The charts may be celebrating near the highs, but the broader market’s behaviour in the coming days will reveal whether this rally gains real strength, or remains a selective rise dressed up as a bull run,” said Sudeep Shah.</p>","<p>“The charts may be celebrating near the highs, but the broader market’s behaviour in the coming days will reveal whether this rally gains real strength, or remains a selective rise dressed up as a bull run,” said Sudeep Shah.</p>",chart celebrat near high broader behaviour com day reveal whether ral real strength remain selective rise dress bull run sudeep shah,2.0,0.0,0.4364357804719848,positive,negative,0.0,0.862,0.138,0.4939,positive
28,"<p>Monthly options data indicated that the Nifty 50 may trade in the 26,000–26,200 range in the near term, with a broader range of 25,700–26,500.</p>","<p>Monthly options data indicated that the Nifty 50 may trade in the 26,000–26,200 range in the near term, with a broader range of 25,700–26,500.</p>",month option data indicat range near term broader range,0.0,0.0,0.0,neutral,positive,0.0,1.0,0.0,0.0,neutral
29,"<p>Despite mid-session buying, the market ended near day's low.</p>","<p>Despite mid-session buying, the market ended near day's low.</p>",despite mid buy end near low,0.0,0.0,0.0,neutral,neutral,0.296,0.704,0.0,-0.2732,negative
30,"<p>Nifty and Sensex slipped over a half a percent on November 21 as weak global cues dragged sentiment, though both indices still ended the week in positive territory.</p>","<p>Nifty and Sensex slipped over a half a percent on November 21 as weak global cues dragged sentiment, though both indices still ended the week in positive territory.</p>",sensex slipp half november weak global cue dragg sentiment though indic still end positive territory,1.0,1.0,0.0,neutral,neutral,0.149,0.667,0.185,0.1779,positive
31,"<p>Stock market today: Sensex, Nifty recovered from early losses as FIIs continued their buying streak for the second straight day.</p>","<p>Stock market today: Sensex, Nifty recovered from early losses as FIIs continued their buying streak for the second straight day.</p>",stock sensex recover ear loss fii continu buy streak second straight,0.0,1.0,-0.30151134457776363,negative,negative,0.174,0.682,0.144,-0.1027,negative
32,"<p>Stock market today: Sensex, Nifty decline was led by a combination of weak global trends, fading hopes of a US rate cut and selling pressure in IT, metal shares.</p>","<p>Stock market today: Sensex, Nifty decline was led by a combination of weak global trends, fading hopes of a US rate cut and selling pressure in IT, metal shares.</p>",stock sensex decline led combination weak global trend fad hop rate cut sell pressure metal shar,0.0,2.0,-0.5,negative,neutral,0.341,0.569,0.09,-0.6486,negative
33,"<p>Benchmark indices may pause near highs amid global weakness and consolidation, while previous resistance levels have now turned into reliable support, reinforcing the long-term bullish bias.</p>","<p>Benchmark indices may pause near highs amid global weakness and consolidation, while previous resistance levels have now turned into reliable support, reinforcing the long-term bullish bias.</p>",benchmark indic pause near high amid global weaknes consolidation previou resistance level turn reliable support reinforc long term bullish bia,1.0,0.0,0.22360679774997896,positive,neutral,0.0,0.876,0.124,0.4019,positive
34,"<p>Aparna Shanker continues to favour financials, lenders, capital market plays and insurers, where formalization, productivity improvements, and better balance-sheet strength are translating into durable growth opportunities.</p>","<p>Aparna Shanker continues to favour financials, lenders, capital market plays and insurers, where formalization, productivity improvements, and better balance-sheet strength are translating into durable growth opportunities.</p>",aparna shanker continu favour financial lender capital play insurer formalization productivity improvement better balance sheet strength translat durable growth opportuniti,1.0,0.0,0.22360679774997896,positive,negative,0.0,0.452,0.548,0.9432,positive
35,"<p>The Foreign Institutional Investors (FIIs) extended their buying on second consecutive day on November 20 as they purchased equities of Rs 283 crore, while Domestic Institutional Investors (DIIs) bought equities of Rs 824 crore, on the same day.</p>","<p>The Foreign Institutional Investors (FIIs) extended their buying on second consecutive day on November 20 as they purchased equities of Rs 283 crore, while Domestic Institutional Investors (DIIs) bought equities of Rs 824 crore, on the same day.</p>",foreign institutional investor fii extend buy second consecutive november purchas equiti domestic institutional investor dii bought equiti,0.0,0.0,0.0,neutral,negative,0.0,0.904,0.096,0.1779,positive
36,"<p>Sensex Today | Stock Market LIVE Updates: BSE Midcap and Smallcap indices down 1 percent each. Except auto, all other sectoral indices are trading in the red with capital goods, realty, PSU Bank, metal down 1 percent each. Maruti Suzuki, M&amp;M, Interglobe Aviation, Max Healthcare, Eicher Motors are among major gainers on the Nifty, while losers are Tata Steel, Hindalco Industries, Bajaj Finance, JSW Steel and HCL Technologies.</p>","<p>Sensex Today | Stock Market LIVE Updates: BSE Midcap and Smallcap indices down 1 percent each. Except auto, all other sectoral indices are trading in the red with capital goods, realty, PSU Bank, metal down 1 percent each. Maruti Suzuki, M&amp;M, Interglobe Aviation, Max Healthcare, Eicher Motors are among major gainers on the Nifty, while losers are Tata Steel, Hindalco Industries, Bajaj Finance, JSW Steel and HCL Technologies.</p>",sensex stock live updat bse midcap smallcap indic except auto sectoral indic red capital good realty psu bank metal maruti suzuki amp interglobe aviation max healthcare eicher motor among major gainer loser tata steel hindalco industri bajaj finance jsw steel hcl technologi,1.0,0.0,0.1543033499620919,positive,neutral,0.073,0.864,0.063,-0.128,negative
37,"<p>Overall, the trend remains in favour of the bulls, who can drive Nifty 50 gradually toward 26,300 (near the record high) and 26,500. However, until it surpasses the record high, consolidation may be seen with support at the 26,100–26,000 zone.</p>","<p>Overall, the trend remains in favour of the bulls, who can drive Nifty 50 gradually toward 26,300 (near the record high) and 26,500. However, until it surpasses the record high, consolidation may be seen with support at the 26,100–26,000 zone.</p>",overall trend remain favour bull drive gradual toward near record high however surpass record high consolidation seen support zone,1.0,0.0,0.22941573387056174,positive,negative,0.0,0.752,0.248,0.6808,positive
38,"<p>Given the strengthening momentum, experts expect the Nifty 50 to touch its record high of 26,277 soon, provided it holds 26,100 as an immediate support. Beyond this, 26,500 is the level to watch, while the sacrosanct support is placed at 25,800.</p>","<p>Given the strengthening momentum, experts expect the Nifty 50 to touch its record high of 26,277 soon, provided it holds 26,100 as an immediate support. Beyond this, 26,500 is the level to watch, while the sacrosanct support is placed at 25,800.</p>",given strengthen momentum expert expect touch record high soon provid hold immediate support beyond level watch sacrosanct support plac,0.0,0.0,0.0,neutral,negative,0.0,0.675,0.325,0.7717,positive
39,"<p>Monthly options data suggests that the Nifty 50 may march toward 26,500 in the short term, supported by the 26,000–25,900 zone.</p>","<p>Monthly options data suggests that the Nifty 50 may march toward 26,500 in the short term, supported by the 26,000–25,900 zone.</p>",month option data suggest march toward short term support zone,0.0,0.0,0.0,neutral,negative,0.0,0.769,0.231,0.4019,positive
40,"<p>Eicher Motors, Bajaj Finserv, Bajaj Finance, Reliance Industries, Tech Mahindra were among major gainers on the Nifty, while losers were Asian Paints, HCL Technologies, Titan Company, Apollo Hospitals and Tata Steel.</p>","<p>Eicher Motors, Bajaj Finserv, Bajaj Finance, Reliance Industries, Tech Mahindra were among major gainers on the Nifty, while losers were Asian Paints, HCL Technologies, Titan Company, Apollo Hospitals and Tata Steel.</p>",eicher motor bajaj finserv bajaj finance reliance industri tech mahindra among major gainer loser asian paint hcl technologi titan company apollo hospital tata steel,0.0,0.0,0.0,neutral,positive,0.129,0.871,0.0,-0.5267,negative
41,"<p>Nifty and Sensex extended their uptrend on November 20, rising over half a percent as strong global cues and robust buying interest pushed the indices higher.</p>","<p>Nifty and Sensex extended their uptrend on November 20, rising over half a percent as strong global cues and robust buying interest pushed the indices higher.</p>",sensex extend uptrend november ris half strong global cue robust buy interest push indic higher,1.0,0.0,0.2581988897471611,positive,negative,0.0,0.514,0.486,0.8555,positive
42,"<p>Nifty surged past the 26,200 mark for the first time since September 2024, while Nifty Bank hit a fresh record high, driving market optimism. Heavyweights like Reliance Industries and HDFC Bank were among the top contributors to the index’s gains. Sectorally, defence, financials, and oil &amp; gas indices led the rally. However, broader markets lagged behind, with overall market breadth remaining negative. Catch Nandita Khemka and Yatin Mota as they discuss stocks on radar.</p>","<p>Nifty surged past the 26,200 mark for the first time since September 2024, while Nifty Bank hit a fresh record high, driving market optimism. Heavyweights like Reliance Industries and HDFC Bank were among the top contributors to the index’s gains. Sectorally, defence, financials, and oil &amp; gas indices led the rally. However, broader markets lagged behind, with overall market breadth remaining negative. Catch Nandita Khemka and Yatin Mota as they discuss stocks on radar.</p>",surg past mark first time since september bank hit fresh record high driv optimism heavyweight like reliance industri hdfc bank among top contributor index sectoral defence financial oil amp gas indic led ral however broader market lagg behind overall breadth remain negative catch nandita khemka yatin mota discus stock radar,0.0,0.0,0.0,neutral,neutral,0.062,0.743,0.194,0.7003,positive
43,"<p>India’s growth outlook is improving as domestic policy support, potential US tariff relief and a fresh earnings upcycle converge to strengthen overall sentiment.</p>","<p>India’s growth outlook is improving as domestic policy support, potential US tariff relief and a fresh earnings upcycle converge to strengthen overall sentiment.</p>",india growth outlook improv domestic policy support potential tariff relief fresh earning upcycle converge strengthen overall sentiment,1.0,0.0,0.24253562503633297,positive,negative,0.0,0.48,0.52,0.9001,positive
44,"<p>Stock market today: Sensex, Nifty rose amid strong global cues and fresh FII inflows.</p>","<p>Stock market today: Sensex, Nifty rose amid strong global cues and fresh FII inflows.</p>",stock sensex amid strong global cue fresh fii inflow,1.0,0.0,0.3333333333333333,positive,negative,0.0,0.556,0.444,0.6808,positive
45,"<p>With volatility easing and institutional sentiment turning positive, analysts say largecaps may continue to outperform.</p>","<p>With volatility easing and institutional sentiment turning positive, analysts say largecaps may continue to outperform.</p>",volatility eas institutional sentiment turn positive analyst largecap continue outperform,1.0,0.0,0.31622776601683794,positive,negative,0.0,0.714,0.286,0.5574,positive
46,"<p>The Foreign Institutional Investors (FIIs) turned net buyers as they bought equities of Rs 1580 crore on November 19, while Domestic Institutional Investors (DIIs) purchased equities of Rs 1360 crore, on the same day.</p>","<p>The Foreign Institutional Investors (FIIs) turned net buyers as they bought equities of Rs 1580 crore on November 19, while Domestic Institutional Investors (DIIs) purchased equities of Rs 1360 crore, on the same day.</p>",foreign institutional investor fii turn net buyer bought equiti november domestic institutional investor dii purchas equiti,0.0,0.0,0.0,neutral,negative,0.0,1.0,0.0,0.0,neutral
47,"<p>A correction is already underway in the US markets. The US has massive issues with its K-shaped recovery and now a potential nasty overhang from tariffs and over-enthusiasm towards, said P Krishnan.</p>","<p>A correction is already underway in the US markets. The US has massive issues with its K-shaped recovery and now a potential nasty overhang from tariffs and over-enthusiasm towards, said P Krishnan.</p>",correction already underway market massive issu shap recovery potential nasty overhang tariff enthusiasm toward krishnan,0.0,0.0,0.0,neutral,neutral,0.185,0.667,0.149,-0.1779,negative
48,"<p>Broader indices underperformed the main indices with BSE Midcap and smallcap indices ending on flat note. On the sectoral front, auto, capital goods, oil &amp; gas, private bank, energy up 0.3-0.6%, while consumer durable, media, PSU Bank down 0.3-1 percent. Eicher Motors, Bajaj Finserv, Bajaj Finance, Reliance Industries, HDFC Bank were among major gainers on the Nifty, while losers were Asian Paints, HCL Technologies, Titan Company, HUL and Sun Pharma.</p>","<p>Broader indices underperformed the main indices with BSE Midcap and smallcap indices ending on flat note. On the sectoral front, auto, capital goods, oil &amp; gas, private bank, energy up 0.3-0.6%, while consumer durable, media, PSU Bank down 0.3-1 percent. Eicher Motors, Bajaj Finserv, Bajaj Finance, Reliance Industries, HDFC Bank were among major gainers on the Nifty, while losers were Asian Paints, HCL Technologies, Titan Company, HUL and Sun Pharma.</p>",broader indic underperform main indic bse midcap smallcap indic end note sectoral front auto capital good oil amp gas private bank energy consumer durable media psu bank eicher motor bajaj finserv bajaj finance reliance industri hdfc bank among major gainer loser asian paint hcl technologi titan company hul sun pharma,1.0,0.0,0.1414213562373095,positive,neutral,0.061,0.848,0.09,0.1531,positive
49,"<p>The Nifty 50 is expected to reclaim 26,100 (October high) provided it holds the psychological 26,000 zone. Above 26,100, 26,300 (near record high) can’t be ruled out; however, immediate support is placed at the 25,950–25,850 zone, experts said.</p>","<p>The Nifty 50 is expected to reclaim 26,100 (October high) provided it holds the psychological 26,000 zone. Above 26,100, 26,300 (near record high) can’t be ruled out; however, immediate support is placed at the 25,950–25,850 zone, experts said.</p>",expect reclaim october high provid hold psychological zone near record high rul however immediate support plac zone expert,0.0,0.0,0.0,neutral,negative,0.0,0.863,0.137,0.4019,positive
50,"<p>If the Nifty 50 successfully crosses and consistently holds above 26,100 zone, a move toward 26,300 (near the record high) could be easily seen in the upcoming sessions. However, support is placed in the 25,750–25,850 zone, according to experts.</p>","<p>If the Nifty 50 successfully crosses and consistently holds above 26,100 zone, a move toward 26,300 (near the record high) could be easily seen in the upcoming sessions. However, support is placed in the 25,750–25,850 zone, according to experts.</p>",successful cross consistent hold zone move toward near record high easi seen upcom session however support plac zone accord expert,0.0,0.0,0.0,neutral,negative,0.0,0.735,0.265,0.7579,positive
51,"<p>Monthly options data suggested that the 26,000 level is expected to be a crucial zone for determining further direction in the Nifty 50.</p>","<p>Monthly options data suggested that the 26,000 level is expected to be a crucial zone for determining further direction in the Nifty 50.</p>",month option data suggest level expect crucial zone determin direction,0.0,0.0,0.0,neutral,positive,0.0,1.0,0.0,0.0,neutral
52,"<p>Nifty Bank continued hitting fresh record high on the third consecutive session. The index touched new high of 59,264.25, finishing with 0.54% gains at 59,216.05.</p>","<p>Nifty Bank continued hitting fresh record high on the third consecutive session. The index touched new high of 59,264.25, finishing with 0.54% gains at 59,216.05.</p>",bank continu hitt fresh record high third consecutive index touch new high finish,0.0,0.0,0.0,neutral,negative,0.0,0.839,0.161,0.3182,positive
53,"<p>After taking a breather in the previous session, the frontline Nifty 50 and Sensex indices have resumed their uptrend on November 19.</p>","<p>After taking a breather in the previous session, the frontline Nifty 50 and Sensex indices have resumed their uptrend on November 19.</p>",tak breather previou frontline sensex indic resum uptrend november,0.0,0.0,0.0,neutral,neutral,0.0,1.0,0.0,0.0,neutral
54,"<p>Stock market today: Sensex, Nifty rebounded from previous day’s losses, supported by strong gains in IT stocks. Investor sentiment was further boosted by optimism surrounding India–US trade deal annoucement.</p>","<p>Stock market today: Sensex, Nifty rebounded from previous day’s losses, supported by strong gains in IT stocks. Investor sentiment was further boosted by optimism surrounding India–US trade deal annoucement.</p>",stock sensex rebound previou loss support strong stock investor sentiment boost optimism surround india deal annoucement,1.0,1.0,0.0,neutral,negative,0.09,0.431,0.478,0.872,positive
55,"<p>Indian markets eased for the second day on weak global cues, with broader indices slipping and profit-booking visible across sectors, even as IT and FMCG stocks lent some support.</p>","<p>Indian markets eased for the second day on weak global cues, with broader indices slipping and profit-booking visible across sectors, even as IT and FMCG stocks lent some support.</p>",indian market eas second weak global cue broader indic slipp profit book visible acros sector even fmcg stock lent support,1.0,1.0,0.0,neutral,neutral,0.114,0.667,0.22,0.4019,positive
